Rank,App Name,App Package Name,Subgenre,Downloads,Cumulative Downloads,Paid Downloads,Organic Downloads,Active Users,Install Base,Avg Session per User,Avg Session Duration,Avg time per User,Avg Active Days,gender,Tier
96,Tricae - Loja Online de Roupas,br.com.tricae,E-Commerce (Retailer),98644,5383753,55303,43341,40459,406460,15.82,00:01:51,00:29:17,3,mulheres,dois
97,Bemol,com.bemol.commerce.android.apps.mobile,E-Commerce (Retailer),96826,1767344,57005,39821,80293,296419,10.58,00:02:30,00:26:31,3.59,homens,tres
98,AMARO: Comprar Moda e Beleza,amaro.amaroandroid,E-Commerce (Retailer),95912,2104467,59380,36532,86133,261278,8.55,00:01:31,00:13:03,2.99,mulheres,tres
99,Novo Mundo,com.kobe.novoMundo,E-Commerce (B2C),91351,544831,1331,90020,51187,147746,6.49,00:01:59,00:12:56,2.39,mulheres,tres
100,Anacapri,br.com.anacapri,E-Commerce (Retailer),89700,422346,42873,46827,45683,108524,16.2,00:01:53,00:30:41,3.43,mulheres,tres
101,eBay Shop: Buying & Selling,com.ebay.mobile,E-Commerce (C2C),87456,4980539,45770,41686,313826,2406324,18.01,00:01:39,00:29:56,3.55,homens,Quatro
102,Mobly Decorações de M Maneiras,com.mobly,E-Commerce (B2C),85941,3656134,34707,51234,79216,1121933,4.84,00:01:56,00:09:24,2.04,mulheres,tres
104,Made-in-China B2B Trade Online,com.madeinchina.b2b.trade,E-Commerce (C2C),80996,479274,46299,34697,12044,88666,4.02,00:02:10,00:08:45,1.57,homens,unico
105,Kit Escolar DUEPAY,com.duepay.kit_escolar_app,Other Shopping,79776,879279,0,79776,49548,454881,16.67,00:01:41,00:28:07,3.09,mulheres,tres
106,Pechinchou Promoções e Ofertas,br.com.pechinchou.pechinchou,Coupons & Rewards,78871,285222,46190,32681,14370,124202,7.65,00:01:33,00:11:53,2.82,homens,dois
108,Menor Preço,br.gov.pr.celepar.sefa.mp,Other Shopping,73686,1598499,47926,25760,223515,851337,10.84,00:00:40,00:07:14,2.69,mulheres,Quatro
109,Sodimac: Hogar y Construcción,cl.sodimac,E-Commerce (B2C),72815,355866,38758,34057,76875,227089,21.32,00:01:06,00:23:32,3.84,mulheres,tres
111,Drogarias Pacheco,br.com.app.meuvivasaude.descontos.pacheco,Pharmacy & Drugstore,71383,1109971,41750,29633,107741,938023,7.42,00:01:40,00:12:28,2.59,homens,tres
112,Avon - Loja de Beleza Brasil,com.avon.br.b2c.store,E-Commerce (Retailer),71307,378139,0,71307,28306,84776,7.1,00:02:47,00:19:47,2.02,mulheres,dois
113,iHerb,com.iherb,E-Commerce (B2C),62583,470201,36673,25910,102240,319036,24.69,00:02:18,00:56:48,3.84,homens,tres
115,Drogaria Araujo,com.araujo.araujoapp,Pharmacy & Drugstore,61737,846364,35698,26039,75257,509880,9.22,00:01:13,00:11:19,2.54,mulheres,tres
116,Hering,br.com.hering,E-Commerce (Retailer),60757,591873,0,60757,40085,190511,10.42,00:01:19,00:13:46,2.37,mulheres,dois
118,Tiendeo - Deals & Weekly Ads,com.geomobile.tiendeo,Coupons & Rewards,59062,2336408,33638,25424,39876,280705,9.52,00:01:55,00:18:15,3.74,homens,dois
121,Farmácia Preço Popular,com.mobfiq.precopopular,Pharmacy & Drugstore,58811,231435,32170,26641,17214,94009,6.85,00:01:45,00:12:02,1.95,homens,dois
