data-ai Intelligence
Report,Top Advertisers
Report Generation Time,01/06/2023 07:49:09 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-08-01, 2021-08-31"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Initial Release Date,Advertiser App Last Version Update,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Apps Seen In,Creatives
20600003060897,Shoptime: Compras online,,2014-06-09,2022-11-14,com.b2w.shoptime,google-play,Google Play Store,android-all,All Android Devices,20200004181434,americanas s.a.,,,,,,,400053,Shopping,1000600000648635,Shoptime,app,App,3,210,6776
20600003248313,Tricae - Loja Online de Roupas,,2014-08-11,2022-12-12,br.com.tricae,google-play,Google Play Store,android-all,All Android Devices,20200002090655,GFG Comércio Digital,1000200000039028,DAFITI,BR,Brazil,1000200000039028,DAFITI,400053,Shopping,1000600000733466,Tricae,app,App,3,2,458
20600004297797,O Boticário,,2015-05-03,2022-12-19,com.boticario.mobile,google-play,Google Play Store,android-all,All Android Devices,20200001504614,Grupo Boticário,1000200000365075,Grupo Boticário,BR,Brazil,1000200000365075,Grupo Boticário,400053,Shopping,1000600000732425,O Boticário,app,App,3,3,1155
20600004987305,Popsy - Affordable Electronics,,2015-11-14,2023-01-02,com.mypopsy.android,google-play,Google Play Store,android-all,All Android Devices,20200004323352,Popsy: The New Way to Buy Electronics,,,,,,,400053,Shopping,20600004987305,Popsy - Affordable Electronics,app,App,3,4,16
20600005750487,Joom. Shopping for every day,,2016-06-01,2022-12-21,com.joom,google-play,Google Play Store,android-all,All Android Devices,20200001857277,Joom,1000200000499608,Joom,LV,Latvia,1000200000499608,Joom,400053,Shopping,1000600000538700,Joom,app,App,3,81,7
20600006040106,Droga Raia - Farmácia 24 horas,,2016-08-12,2022-11-17,br.com.drogaraia,google-play,Google Play Store,android-all,All Android Devices,20200001930936,Raia Drogasil S.A.,1000200000364150,Raia Drogasil,BR,Brazil,1000200000364150,Raia Drogasil,400040,Health & Fitness,1000600000731695,Droga Raia,app,App,3,3,3
20600006509138,SCHUTZ,,2016-11-17,2022-12-21,br.com.arezzo.schutz,google-play,Google Play Store,android-all,All Android Devices,20200003084514,Arezzo,1000200000364805,Arezzo,BR,Brazil,1000200000364805,Arezzo,400053,Shopping,1000600000732789,Schutz,app,App,3,7,14
20600009475931,Apcap da Sorte,,2018-03-23,2022-12-23,br.com.apcapsp.app,google-play,Google Play Store,android-all,All Android Devices,20200003221858,Idea Maker,1000300000024551,Idea Maker,BR,Brazil,1000300000024551,Idea Maker,400036,Entertainment,1000800000141746,Apcap Da Sorte,app,App,3,16,77
20600013668592,Tok&Stok: Móveis e Decoração,,2020-07-06,2022-12-23,com.tokstok.app,google-play,Google Play Store,android-all,All Android Devices,20200003605111,Tok&Stok,1000200000357093,TOK&STOK,BR,Brazil,1000200000357093,TOK&STOK,400053,Shopping,1000600000809947,Tok&Stok: Móveis e Decoração,app,App,3,4,34
20600015107879,OOOOO Diversão+Compras Ao Vivo,,2021-05-28,2022-04-01,com.ooooo.brazil,google-play,Google Play Store,android-all,All Android Devices,20200003601918,Video Commerce Group limited,,,,,,,400053,Shopping,20600015107879,OOOOO Diversão+Compras Ao Vivo,app,App,3,4,8
20600015194598,Urbanic - Fashion from London,,2021-06-09,2023-01-03,com.urbanic.multis,google-play,Google Play Store,android-all,All Android Devices,20200003104240,Urbanic,1000200000484675,MAYSQUARE LIFESTYLE,GB,United Kingdom,1000200000484675,MAYSQUARE LIFESTYLE,400053,Shopping,1000600000810166,Urbanic,app,App,3,10,907
20600015423078,Anacapri,,2021-08-04,2022-12-13,br.com.anacapri,google-play,Google Play Store,android-all,All Android Devices,20200003084514,Arezzo,1000200000364805,Arezzo,BR,Brazil,1000200000364805,Arezzo,400053,Shopping,1000600000811792,Anacapri,app,App,3,8,11
20600001738556,iHerb,,2013-11-22,2022-12-26,com.iherb,google-play,Google Play Store,android-all,All Android Devices,20200001511032,iHerb,1000200000136547,iHerb,US,United States,1000200000136547,iHerb,400053,Shopping,1000600000550736,iHerb,app,App,2,3,542
20600003301809,Kanui: Compre Tênis e Roupa de,,2014-08-11,2022-12-12,br.com.kanui,google-play,Google Play Store,android-all,All Android Devices,20200002090655,GFG Comércio Digital,1000200000039028,DAFITI,BR,Brazil,1000200000039028,DAFITI,400053,Shopping,1000600000518594,Kanui,app,App,2,2,584
20600004027086,Wayfair - Shop All Things Home,,2015-02-19,2022-12-12,com.wayfair.wayfair,google-play,Google Play Store,android-all,All Android Devices,20200000398920,"Wayfair, LLC",1000200000033801,Wayfair,US,United States,1000200000033801,Wayfair,400053,Shopping,1000600000451888,Wayfair,app,App,2,18,7
20600004168302,PatPat - Kids & Baby Clothing,,2015-03-30,2023-01-04,com.interfocusllc.patpat,google-play,Google Play Store,android-all,All Android Devices,20200001475019,Interfocus Inc,1000200000320839,Interfocus,US,United States,1000200000320839,Interfocus,400053,Shopping,1000600000680464,PatPat,app,App,2,2,31
20600004545115,Gameflip: Buy & Sell,,2015-07-08,2022-07-08,com.ijji.gameflip,google-play,Google Play Store,android-all,All Android Devices,20200001560135,"ijji, inc.",,,,,,,400053,Shopping,1000600000750061,Gameflip,app,App,2,2,1
20600004705646,Zattini: Loja de roupas online,,2015-08-21,2022-12-07,br.com.zattini,google-play,Google Play Store,android-all,All Android Devices,20200001721405,Grupo Netshoes,1000200000039029,Netshoes,BR,Brazil,1000200000387041,Magazine Luiza,400053,Shopping,1000600000620122,Zattini,app,App,2,2,6321
20600005338058,Singu - Delivery de beleza e b,,2016-02-18,2022-11-30,br.com.singu,google-play,Google Play Store,android-all,All Android Devices,20200002802170,Singu Serviços de Beleza e Tecnologia SA,,,,,,,400029,Beauty,20600005338058,Singu - Delivery de beleza e b,app,App,2,2,7
20600005393313,Lojas Pompéia – Moda Fashion,,2016-03-03,2022-12-14,pompeia.com.br.pompia,google-play,Google Play Store,android-all,All Android Devices,20200001770377,Lojas Pompeia,1000200000435207,Lojas Pompeia,BR,Brazil,1000200000435207,Lojas Pompeia,400053,Shopping,1000600000773109,Lojas Pompéia,app,App,2,2,2
20600005805579,MATCHESFASHION,,2016-06-15,2022-12-22,com.matchesfashion.android,google-play,Google Play Store,android-all,All Android Devices,20200003284948,MATCHESFASHION,,,,,,,400053,Shopping,1000600000624640,MATCHESFASHION.COM,app,App,2,931,38
20600005858574,"Nike: Shoes, Apparel & Stories",,2016-08-02,2023-01-05,com.nike.omega,google-play,Google Play Store,android-all,All Android Devices,20200000104649,"Nike, Inc.",1000200000017285,Nike,US,United States,1000200000017285,Nike,400053,Shopping,1000600000540540,Nike,app,App,2,2,2
20600005940875,FARFETCH — Designer Shopping,,2016-07-19,2022-12-29,com.farfetch.farfetchshop,google-play,Google Play Store,android-all,All Android Devices,20200001905562,Farfetch UK Limited,1000200000095960,Farfetch,GB,United Kingdom,1000200000095960,Farfetch,400053,Shopping,1000600000618974,Farfetch,app,App,2,2,514
20600006039813,Eco Cat,,2016-04-28,2022-12-21,com.ecotradegroup.catalogue,google-play,Google Play Store,android-all,All Android Devices,20200001462914,Ecotrade Group,,,,,,,400056,Tools,20600006039813,Eco Cat,app,App,2,15,2
20600006431486,Klarna | Shop now. Pay later.,,2016-11-02,2022-12-15,com.myklarnamobile,google-play,Google Play Store,android-all,All Android Devices,20200002291275,Klarna Bank AB (publ),1000200000164777,Klarna,SE,Sweden,1000200000164777,Klarna,400053,Shopping,1000600000594772,Klarna,app,App,2,10,5
