,App Package Name,Reviews Content,Rating,Ranking,review_processed
16884,com.shopee.br,AMOO,5,Second,amoo
16885,com.shopee.br,muito bom,5,Second,bom
16886,com.shopee.br,"Ja fiz alguns pedidos, e veio tudo certo como anunciado, até agora só elogios, estou amando o app.",5,Second,"ja fiz algun pedidos, veio tudo certo anunciado, agora elogios, amando app."
16887,com.shopee.br,Tudo ótimo,5,Second,tudo ótimo
16888,com.shopee.br,Nota 1.000,5,Second,nota 1.000
16889,com.shopee.br,Um vicio sem volta,5,Second,um vicio volta
16890,com.shopee.br,Sensacional,5,Second,sensacion
16891,com.shopee.br,O que eu tenho para falar desse aplicativo é que esse app do shopee veio como chuva de bênçãos do céu para minha vida e para vidas de muitas pessoas que usa esse aplicativo pós esse app do shopee além de ter muitas novidades tem muitas coisas boa e menos custos que nem se compara com outros aplicativo que o custo são muitos caro de tudo que eu já tenho visto nesse aplicativo da shopee eu sou tenho que agradece a nosso Deus e a quem se deixou ser usado por nosso Deus para fazer esse belo trabalho,5,Second,o falar dess aplicativo app shope veio chuva bênção céu vida vida muita pessoa usa aplicativo pó app shope além ter muita novidad muita coisa boa meno custo compara outro aplicativo custo muito caro tudo visto ness aplicativo shope agradec deu deixou usado deu fazer belo trabalho
16892,com.shopee.br,Excelente,5,Second,excelent
16893,com.shopee.br,Excelente!,5,Second,excelente!
16894,com.shopee.br,Muito bom !!!!,5,Second,muito bom !!!!
16895,com.shopee.br,"Plataforma ótima com mercadorias boas, preços em comparação a outras,bem abaixo do valor,frete grátis, variedades,várias formas de pagamento, excelente!!!",5,Second,"plataforma ótima mercadoria boas, preço comparação outras,bem abaixo valor,fret grátis, variedades,vária forma pagamento, excelente!!!"
16896,com.shopee.br,PÉSSIMO,1,Second,péssimo
16897,com.shopee.br,O site é muito eu recomendo.,5,Second,o site recomendo.
16898,com.shopee.br,"Os fretes são altos de mas , é melhor comprar na minha cidade mesmo O frete tá um absurdo 😒",1,Second,"os frete alto , melhor comprar cidad o frete tá absurdo 😒"
16899,com.shopee.br,Muito bom,5,Second,muito bom
16900,com.shopee.br,Ótimo app para fazer compras com preços ótimos ❤️😍,5,Second,ótimo app fazer compra preço ótimo ❤️😍
16901,com.shopee.br,"Sait muito atencioso e super seguro, sempre disposto a resolver todos problemas.",5,Second,"sait atencioso super seguro, sempr disposto resolv todo problemas."
16902,com.shopee.br,Quase bom,3,Second,quas bom
16903,com.shopee.br,Parabéns .. amei todas as minhas compras por aq 🥰😍😍😍,5,Second,parabén .. amei toda compra aq 🥰😍😍😍
16904,com.shopee.br,Não recebi meu dinheiro,1,Second,não recebi dinheiro
16905,com.shopee.br,Eu fiz A minha primeira compra a amei,5,Second,eu fiz a primeira compra amei
16906,com.shopee.br,Ótimo,5,Second,ótimo
16907,com.shopee.br,Não consigo finalizar a compra no cartão de modo algum. Já notifiquei ao suporte e atualizei o app e nada adiantou.,2,Second,não consigo finalizar compra cartão modo algum. já notifiquei suport atualizei app nada adiantou.
16908,com.shopee.br,Ótima,5,Second,ótima
16909,com.shopee.br,Melhor site de compras do momento 👍,5,Second,melhor site compra momento 👍
16910,com.shopee.br,"Melhor app de compras gosto muito da shoppe tive um pequeno problema,mas a shoppe resolveu 😃",5,Second,"melhor app compra gosto shopp pequeno problema,ma shopp resolveu 😃"
16911,com.shopee.br,Sempre faço compras aqui economia mas aplicativo tá só travando,4,Second,sempr faço compra aqui economia aplicativo tá travando
16912,com.shopee.br,Ok,5,Second,ok
16913,com.shopee.br,Ótimo lugar,5,Second,ótimo lugar
16914,com.shopee.br,Oque está acontecendo com o aplicativo antes era tão bom agora o app não abre os meus pedidos não consigo resgatar o cupom de desconto e nem comprar,1,Second,oqu acontecendo aplicativo ant tão bom agora app abr pedido consigo resgatar cupom desconto comprar
16915,com.shopee.br,"To com 1 pedido 1 mês como "" Coletado"" e eles nãp reembolsam ou dizem o que ta acontecendo. Só omitem, dizendo que o pedido está a caminho. Quanto aos demais produtos, estao chegando normalmente.",3,Second,"to 1 pedido 1 mê "" coletado"" nãp reembolsam dizem ta acontecendo. só omitem, dizendo pedido caminho. quanto demai produtos, estao chegando normalmente."
16916,com.shopee.br,Gostando muito,5,Second,gostando
16917,com.shopee.br,"Por enquanto estou adorando , rápida entrega e produtos abaixo do preço de mercado.",5,Second,"por enquanto adorando , rápida entrega produto abaixo preço mercado."
16918,com.shopee.br,Está de parabéns 👏👏,5,Second,está parabén 👏👏
16919,com.shopee.br,Ótimo aplicativo de compras,5,Second,ótimo aplicativo compra
16920,com.shopee.br,Bom demais,5,Second,bom demai
16921,com.shopee.br,Mto satisfeita com minhas compras,5,Second,mto satisfeita compra
16922,com.shopee.br,"Ja foi melhor, esses Limites de compras deixa a desejar, os fretes das lojas é um absurdo,",3,Second,"ja melhor, limit compra deixa desejar, frete loja absurdo,"
16923,com.shopee.br,Adoro comprar na shoppe maravilhoso,5,Second,adoro comprar shopp maravilhoso
16924,com.shopee.br,Rr🤠🤠😊😊😊😊😊😊😊😊😊😊😋😋😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊,2,Second,rr🤠🤠😊😊😊😊😊😊😊😊😊😊😋😋😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊😊
16925,com.shopee.br,Ótima,5,Second,ótima
