Date,Aplicativo_Rank,Advertiser App Name,Advertiser App Package Name,Ad Platforms,Apps Seen In,Creatives,Paid Downloads,investimento_cpi,est_numero_anuncios
Jul 22,55,Arezzo,br.com.arezzo,3,7,11,125676,281514.24,77
Aug 22,55,Arezzo,br.com.arezzo,2,2,8,125676,281514.24,16
Sep 22,55,Arezzo,br.com.arezzo,2,2,28,125676,281514.24,56
Aug 22,47,Stix,br.com.soustix.app,1,1,2,122439,274263.36,2
Jul 22,36,PatPat - Kids & Baby Clothing,com.interfocusllc.patpat,1,7,1,120723,270419.52,7
Aug 22,36,PatPat - Kids & Baby Clothing,com.interfocusllc.patpat,2,2,31,120723,270419.52,62
Sep 22,36,PatPat - Kids & Baby Clothing,com.interfocusllc.patpat,2,2,1,120723,270419.52,2
Jul 22,74,Camicado,br.com.camicado.mobile,4,2,1060,107319,240394.56,2120
Aug 22,74,Camicado,br.com.camicado.mobile,2,2,612,107319,240394.56,1224
Sep 22,74,Camicado,br.com.camicado.mobile,2,2,184,107319,240394.56,368
Jul 22,70,Fast Shop,br.com.fastshop.ecommerce.beta,6,7,303,103898,232731.52,2121
Aug 22,70,Fast Shop,br.com.fastshop.ecommerce.beta,5,6,874,103898,232731.52,5244
Sep 22,70,Fast Shop,br.com.fastshop.ecommerce.beta,5,6,852,103898,232731.52,5112
Jul 22,69,Polishop: Presentes de Natal,br.com.projetopolishop.mobile,2,2,9,101535,227438.4,18
Aug 22,69,Polishop: Presentes de Natal,br.com.projetopolishop.mobile,5,3,13,101535,227438.4,39
Sep 22,69,Polishop: Presentes de Natal,br.com.projetopolishop.mobile,2,2,2,101535,227438.4,4
Jul 22,81,KaBuM! Compre Online,br.com.kabum.webviewapp,4,2,7,88805,198923.2,14
Aug 22,81,KaBuM! Compre Online,br.com.kabum.webviewapp,4,2,11,88805,198923.2,22
Jul 22,57,CASA & VIDEO,com.root.casaevideov3.Activities,2,2,6,88638,198549.12,12
Aug 22,57,CASA & VIDEO,com.root.casaevideov3.Activities,2,2,29,88638,198549.12,58
