data-ai Intelligence
Report,Single table report
Report Generation Time,01/06/2023 07:50:29 PST
Ad Platform,All Supported
Country/Region,Brazil
Device,Android Phone
Date,"2021-09-01, 2021-09-30"
Granularity,Monthly

Advertiser App,Advertiser App Name,Advertiser App Bundle ID,Advertiser App Icon Url,Advertiser App Status,Advertiser App Package Name,Market,Market Name,Device,Device Name,Developer Account,Developer Account Name,Company,Company Name,Company HQ,Company HQ Name,Parent Company,Parent Company Name,App Category,App Category Name,Unified App,Unified App Name,Vertical,Vertical Name,# Ad Platforms,# Ad Platforms (Change Value),# Apps Seen In,# Apps Seen In (Change Value),Creatives,Creatives (Change Value)
20600004830440,Pão de Açúcar Mais,,https://static-s.aa-cdn.net/img/gp/20600004830440/Q881z2l9NkF8LbXqCTWNldUneCp8iO0-wca2AGUYbyyY8fugBNnomS5d4rrPb98bxg_w80,1,br.com.paodeacucarmais,google-play,Google Play Store,android-all,All Android Devices,20200000158993,GPA,1000200000049164,GPA,BR,Brazil,1000200000049164,GPA,400053,Shopping,1000600000603523,Pão de Açúcar Mais,app,App,4,0,22,20,75,-52
20600004830869,Promobit: Promoções e Cupons,,https://static-s.aa-cdn.net/img/gp/20600004830869/9HLSR3d8_bLEK5dB9Gz_qUwI9EpqlyiJbeu8F7BrNUDKrA3Wt0OeacPUkdkR7kecQwKV_w80,1,br.com.promobit.app,google-play,Google Play Store,android-all,All Android Devices,20200001505702,Promobit,,,,,,,400053,Shopping,20600004830869,Promobit: Promoções e Cupons,app,App,4,0,2,0,128,-2
20600005278591,Panvel Farmácia e Perfumaria,,https://static-s.aa-cdn.net/img/gp/20600005278591/xQMzSX5hecuu4tmOU4Uc6EVurlI89pMd6uaGi3vmLoCgbV4BR_DdKkhCqnpbLYmXMA5o=s300_w80,1,br.com.dimed.panvel,google-play,Google Play Store,android-all,All Android Devices,20200000624943,Panvel,,,,,,,400040,Health & Fitness,1000600000731523,Panvel Farmácia e Perfumaria,app,App,4,-1,2,-3,47,17
20600005338058,Singu - Delivery de beleza e b,,https://static-s.aa-cdn.net/img/gp/20600005338058/MUqlyzejwvoFkqqExVswCczgoF0CHlcYbOnG7Mk-XSnjPs2JgUPOMRB3s-vKVr7esmc_w80,1,br.com.singu,google-play,Google Play Store,android-all,All Android Devices,20200002802170,Singu Serviços de Beleza e Tecnologia SA,,,,,,,400029,Beauty,20600005338058,Singu - Delivery de beleza e b,app,App,4,2,2,0,7,0
20600006206349,DHgate-online wholesale stores,,https://static-s.aa-cdn.net/img/gp/20600006206349/lLHKWZ9z4qIqvhDT2nlTbLOvjVLUvEPVsM2yofZE_3c8ogGNOUjQv196bwgjgt2jBF8_w80,1,com.dhgate.buyermob,google-play,Google Play Store,android-all,All Android Devices,20200000068127,dhgate.com,1000200000243652,DHgate.com,CN,China,1000200000243652,DHgate.com,400053,Shopping,1000600000626797,DHgate,app,App,4,0,2,0,58,-34
20600006509138,SCHUTZ,,https://static-s.aa-cdn.net/img/gp/20600006509138/i-f1VZFwe5ZhvpI07XThIuvU4TGG4zX7PFvh_v0AZcTgMggWxZhj41MrQ9x7UU3lkKE_w80,1,br.com.arezzo.schutz,google-play,Google Play Store,android-all,All Android Devices,20200003084514,Arezzo,1000200000364805,Arezzo,BR,Brazil,1000200000364805,Arezzo,400053,Shopping,1000600000732789,Schutz,app,App,4,1,59,52,74,60
20600006838544,Farmácias APP: Drogaria online,,https://static-s.aa-cdn.net/img/gp/20600006838544/BtS69RDpn2MbU8xh6huQDgZf1C1WBNeixJBFC3WwZ9qhpFZ18JEw9n7aE68sSbSVYus_w80,1,com.pharmacysa.farmaciasapp,google-play,Google Play Store,android-all,All Android Devices,20200002108899,Pharmacy SA,1000200000498176,Pharmacy SA,BR,Brazil,1000200000498176,Pharmacy SA,400046,Medical,1000600000833621,Farmácias APP,app,App,4,0,2,0,20,-14
20600011982315,hibobi-Kids Fashion Online,,https://static-s.aa-cdn.net/img/gp/20600011982315/IyYFOoEPg_MRSaU9xFWzaho_2T0qmJLqMgf7_bffjjSeAYo524Kc-yU5gN5vFrzEmEo_w80,1,com.hibobi.store,google-play,Google Play Store,android-all,All Android Devices,20200003210673,HIBOBI TECHNOLOGY LIMITED,1000200000484529,HIBOBI TECHNOLOGY LIMITED,CN,China,1000200000484529,HIBOBI TECHNOLOGY LIMITED,400053,Shopping,1000600000809993,hibobi-enrich baby's childhood,app,App,4,0,2,0,1001,943
20600012513431,Dotz: conta digital,,https://static-s.aa-cdn.net/img/gp/20600012513431/-t_6xh4mFsqGaLE1EcgFuXVEVr7bH2qlNEotfVbeSb2SibIKfzOjmxYur8TusGi-rQlt_w80,1,br.com.dotz.dotzpay,google-play,Google Play Store,android-all,All Android Devices,20200000368552,Programa Dotz,1000200000334912,Dotz,BR,Brazil,1000200000334912,Dotz,400038,Finance,1000600000809030,Dotz: conta digital e cashback,app,App,4,-1,2,-2,69,15
20600013154812,Privalia: Maior Outlet Online,,https://static-s.aa-cdn.net/img/gp/20600013154812/3qaBjbFJyBwhb8UVRWgOX111XsrnAnAKAh6NjABbUXaocuCEeiK2ux6tp7CbHxrckTA_w80,1,com.privalia.br,google-play,Google Play Store,android-all,All Android Devices,20200003488373,Privalia Brasil,1000200000047217,Privalia,ES,Spain,1000200000042925,Vente-Privee,400053,Shopping,1000600000788644,Privalia BR,app,App,4,0,2,0,139,-45
